Checking and applying pending database migrations...

[4mSequelize CLI [Node: 22.18.0, CLI: 6.6.2, ORM: 6.37.8][24m

Loaded configuration file "src\config\sequelize-cli.js".
Using environment "development".
No migrations were executed, database schema was already up to date.
Database migrations are up to date
Database connection established
Toilet QR bootstrap completed: total=10 generated=0 skipped=10 failed=0
Server is running on port 5000
[70fb9c19-1d50-45e8-a616-fc1044790257] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[e622d657-be0e-43c0-b413-970ed6603c74] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[43910232-f8a3-4bc9-bd7c-15d0efd04cfc] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[284acf09-ba86-49d1-8427-ee84c0b9a397] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[9ff38cb5-8cc4-40f7-ad92-343835ccbff6] GET /api/v1/dashboard/trends -> 200 1202ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[2ac2f307-2f64-42aa-929b-d28687401926] GET /api/v1/dashboard/overview -> 200 1372ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[12734cd9-f144-4405-90d4-b5716a0c6ac8] GET /api/v1/inspections?page=1&limit=8 -> 200 1748ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[4a426c9c-7c32-4492-a518-2044f6a33339] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 2353ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[57c731ab-3d55-4366-b13b-8be155d7c8cf] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[30fc4357-f0d5-47d0-8c40-1fb3b8ba9327] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[2f1b79c3-6c84-47b2-bfcd-fbe385da6bd0] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[b1f113b1-6c24-48eb-9e45-ba091924ea9e] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[43a9be6a-f902-455f-8a80-a3e38b404c10] GET /api/v1/inspections?page=1&limit=8 -> 200 934ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[050c500a-da24-4532-9d0d-479d74279928] GET /api/v1/dashboard/trends -> 200 1011ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[0c844dba-c9e6-4a64-a7a5-0f57a9d6843f] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1502ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[fc4fd788-3cf3-498d-a5f9-e1f03fcd96f9] GET /api/v1/dashboard/overview -> 200 1876ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[88ff7fbc-0613-4848-94c0-2239cca78398] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[37adcbe5-6d82-43df-b590-4a83ab21aef3] OPTIONS /api/v1/dashboard/trends -> 204 1ms tenant=platform user=anonymous
[72539b71-eb11-4e1d-83a6-5b2e3fca5831] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[6835945e-be59-4221-acdc-4ffb878d5f7a] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[c5020b79-f14f-43b9-8b70-3e76be5c3fe3] GET /api/v1/inspections?page=1&limit=8 -> 200 1052ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[c4719118-b815-423d-b61b-c9bd854aab97] GET /api/v1/dashboard/trends -> 200 1165ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[d1814533-cc04-478a-8351-b5f4dafc91d5] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1237ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[5540c741-7906-4608-812a-1f71838cff87] GET /api/v1/dashboard/overview -> 200 1250ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[09669cdd-e845-465e-8baf-7306d02f721e] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[e8f9498e-5d79-4a9f-b43b-df9e97b9bc7e] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[2c6fee4b-aba0-4710-a777-19b3cca04db8] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[ba1d3e6b-f289-4cd7-8c52-a16c44a075e3] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[9844b628-a70a-4cd5-b158-5c5bf6a126a2] GET /api/v1/inspections?page=1&limit=8 -> 200 2654ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[a09bcdf2-0007-43f6-a819-c3f7d7b5d4ec] GET /api/v1/dashboard/trends -> 200 2938ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[7f9c7bc8-59f4-42d6-9ad9-1c9841535ea3] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 3161ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[5af100b0-4859-48b9-abed-824ad1cd0812] GET /api/v1/dashboard/overview -> 200 3239ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[ad92bd1e-1d77-486f-a166-d4952560ce28] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[a6eaaee9-9dc8-4e21-9380-140cbd6c0871] OPTIONS /api/v1/dashboard/trends -> 204 1ms tenant=platform user=anonymous
[56863b5f-659f-4bb8-b962-200a398f16fe] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[e2929dca-4347-4a97-9c8b-8674ca95cfc1] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[9fa4d992-22d1-4075-b4eb-9d1ef3769740] GET /api/v1/dashboard/trends -> 200 1174ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[9925f226-d4a5-4ccd-a695-f62c896450d0] GET /api/v1/dashboard/overview -> 200 1272ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[92214ef2-d0c2-4d9a-ae0b-98ad9cf20cb4] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1267ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[b1470348-6e59-4cb4-b564-886d47a7395e] GET /api/v1/inspections?page=1&limit=8 -> 200 1525ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[169a2b1b-1587-4121-8224-ef2ffa9af456] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[b99f83a8-da8a-4f21-b50f-300523a76b57] OPTIONS /api/v1/dashboard/trends -> 204 1ms tenant=platform user=anonymous
[316fe539-4eb5-45df-a6d3-0f294bb2ae39] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[2475b017-9074-4c00-bfe1-e8b9f2bd6f73] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 0ms tenant=platform user=anonymous
[210f8407-c8a5-40e5-8295-7f7acac77609] GET /api/v1/inspections?page=1&limit=8 -> 200 988ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[2966ad08-a952-44ee-807d-2945d1ad7837] GET /api/v1/dashboard/overview -> 200 1260ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[e071899e-0dc9-4f58-ae7e-9e80d45b5ca8] GET /api/v1/dashboard/trends -> 200 1644ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[904d11a8-671d-4994-aa83-5aa0dd02fe3e] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1707ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[c885b49f-65fe-4546-8830-b57617ab3be6] OPTIONS /api/v1/dashboard/overview -> 204 0ms tenant=platform user=anonymous
[86315e23-783c-46aa-8ec8-b6eb266b28db] OPTIONS /api/v1/dashboard/trends -> 204 0ms tenant=platform user=anonymous
[d33e3583-58ad-444e-bcdf-2d4145393b3f] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[e2d4fd75-7d4e-4228-934b-c80816ad02da] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[2f812db9-84a4-4376-9742-f7641ee6ad1d] GET /api/v1/inspections?page=1&limit=8 -> 200 981ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[ce338fb5-5679-4463-a67b-33f861ffaa9b] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1118ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[93366355-741d-407c-b37c-b46364399fea] GET /api/v1/dashboard/trends -> 200 1472ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[96d90250-cb05-44be-8f85-f4121dd17632] GET /api/v1/dashboard/overview -> 200 1736ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[dee47420-694f-4c55-bcf2-8c2480336666] OPTIONS /api/v1/dashboard/heatmap?north=20.08&south=19.932&east=73.954&west=73.626&zoomLevel=12&timeRange=last7&organizationId=nashik&severity=all -> 204 1ms tenant=platform user=anonymous
[3f273513-2a29-431c-a631-d1b98379ca48] OPTIONS /api/v1/dashboard/heatmap?north=20.08&south=19.932&east=73.977&west=73.602&zoomLevel=12&timeRange=last7&organizationId=nashik&severity=all -> 204 0ms tenant=platform user=anonymous
[b96a1603-3f25-44a7-9fab-67644fe8a1e8] GET /api/v1/dashboard/heatmap?north=20.08&south=19.932&east=73.954&west=73.626&zoomLevel=12&timeRange=last7&organizationId=nashik&severity=all -> 200 1701ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[db5bb845-81b3-460f-aac5-f89a687053db] GET /api/v1/dashboard/heatmap?north=20.08&south=19.932&east=73.977&west=73.602&zoomLevel=12&timeRange=last7&organizationId=nashik&severity=all -> 200 1480ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[48fe2ede-c0d0-4b57-a347-447d0fe74f1c] OPTIONS /api/v1/toilet-units -> 204 1ms tenant=platform user=anonymous
[e6e0bdac-aafc-4b69-a35c-ccdeffc45c85] OPTIONS /api/v1/facilities?page=1&limit=300 -> 204 0ms tenant=platform user=anonymous
[167fb8e0-c0f5-4c08-a5ad-7ff9dbe964b0] OPTIONS /api/v1/facilities?page=1&limit=300 -> 204 1ms tenant=platform user=anonymous
[1ce489c0-bf85-4a39-a83e-b02ad110a9de] GET /api/v1/facilities?page=1&limit=300 -> 200 214ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[d19d7da0-73c1-4b3a-9c51-4d9018411730] OPTIONS /api/v1/toilet-blocks?facilityId=dfcce11b-9ed6-4ded-9f69-5e2868bb337a -> 204 1ms tenant=platform user=anonymous
[2f6b3d2d-58ff-487a-82dd-157b5befb348] GET /api/v1/toilet-units -> 200 310ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[8b8ae40b-7d6a-41de-94cc-354d7282073a] GET /api/v1/toilet-units -> 200 250ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[09dfafdf-77e5-419b-9e05-1920757ecf89] GET /api/v1/toilet-blocks?facilityId=dfcce11b-9ed6-4ded-9f69-5e2868bb337a -> 200 264ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[7a57569d-3e4c-4efa-b071-f065d6288cfb] GET /api/v1/facilities?page=1&limit=300 -> 200 389ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[17c21f90-b8be-46ae-a92b-498ef631979f] OPTIONS /api/v1/inspections?page=1&limit=100 -> 204 0ms tenant=platform user=anonymous
[389b03ea-7d65-4ba5-820f-69449e84ef86] OPTIONS /api/v1/inspections?page=1&limit=100 -> 204 1ms tenant=platform user=anonymous
[53f9f226-0213-47fa-9025-889e7f2d9f36] GET /api/v1/inspections?page=1&limit=100 -> 200 5072ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[6c6d57c5-cb85-4b28-8490-00324bafc46a] GET /static/sanitation/9e417b55-663f-4ee0-ba39-2a64c1a8db79/inspections/76d1a895-17d2-4dfb-8906-e18b57fde365/inspection-1775070524124-600861746.jpg -> 200 130ms tenant=platform user=anonymous
[1e5c0a03-b6e8-4812-bffb-d9bad28bc33c] GET /static/sanitation/9e417b55-663f-4ee0-ba39-2a64c1a8db79/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41/inspection-1775072947325-364842066.jpg -> 200 144ms tenant=platform user=anonymous
[68218291-073d-4a42-9da3-0b8cc38f755e] OPTIONS /api/v1/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41 -> 204 1ms tenant=platform user=anonymous
[e45184f2-0eb9-4b31-aa82-bcbe5a0031b5] OPTIONS /api/v1/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41 -> 204 1ms tenant=platform user=anonymous
[f5b1b287-f023-419a-9b72-1242d251da83] GET /api/v1/inspections?page=1&limit=100 -> 200 2130ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[62cd95e8-c077-42e1-baab-0df3e2721858] GET /api/v1/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41 -> 200 975ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[2c6d33ff-4e30-47c8-9b1d-15289b590dc6] OPTIONS /api/v1/analysis/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41/trend?limit=25 -> 204 1ms tenant=platform user=anonymous
[2717f72d-ce80-4c42-bad6-6438d9e16bd9] GET /api/v1/analysis/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41/trend?limit=25 -> 200 729ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[42ed7162-023d-4879-a476-fa6062b9208d] OPTIONS /api/v1/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41/comparison -> 204 0ms tenant=platform user=anonymous
[fdfba7af-eb47-42e2-bb6c-13920cdeceb4] GET /api/v1/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41 -> 200 887ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[fc2e52c1-333a-41f9-b832-a6938397d78a] GET /api/v1/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41/comparison -> 200 394ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[fc063402-cb69-4d42-877d-f27e4efe2ba0] GET /static/sanitation/9e417b55-663f-4ee0-ba39-2a64c1a8db79/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41/inspection-1775072954661-482187733.jpg -> 200 110ms tenant=platform user=anonymous
[9771eaed-ca14-4932-8766-00b53b7cb5d5] GET /api/v1/analysis/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41/trend?limit=25 -> 200 600ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[709ec18a-d8bb-4233-86a3-aa7b09ad7cce] GET /api/v1/inspections/ce8610eb-23cf-42fa-a59c-e667f3809f41/comparison -> 200 362ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[15cc4d71-1a67-4f9e-a23b-36ef6fca85df] OPTIONS /api/v1/inspections?page=1&limit=100 -> 204 1ms tenant=platform user=anonymous
[56246c78-3a79-46ad-a255-5d0758a419ef] OPTIONS /api/v1/inspections?page=1&limit=100 -> 204 1ms tenant=platform user=anonymous
[03f83c12-32ae-4f78-809d-4c1c44d7da90] GET /api/v1/inspections?page=1&limit=100 -> 200 1200ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[e5ed017e-c6a9-4e76-9575-a08bb28907fa] OPTIONS /api/v1/toilet-units -> 204 6ms tenant=platform user=anonymous
[3da53e5e-6c2c-46af-a430-97b624b2ee9d] OPTIONS /api/v1/facilities?page=1&limit=300 -> 204 0ms tenant=platform user=anonymous
[e49a4326-e99b-44f7-bb03-c56b4f1a622a] OPTIONS /api/v1/toilet-units -> 204 0ms tenant=platform user=anonymous
[f53cf176-c7ed-4158-893f-18136545d9a6] OPTIONS /api/v1/facilities?page=1&limit=300 -> 204 1ms tenant=platform user=anonymous
[7eb38677-9a21-4563-81e5-5698a4032e03] GET /api/v1/toilet-units -> 200 489ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[7bd7a5f0-7a2f-46d3-bc51-0c81a715a4fa] GET /api/v1/facilities?page=1&limit=300 -> 200 487ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[a05f211b-59ec-4284-b724-c2a57ee53736] OPTIONS /api/v1/toilet-blocks?facilityId=dfcce11b-9ed6-4ded-9f69-5e2868bb337a -> 204 5ms tenant=platform user=anonymous
[47065074-bdef-4b29-8743-fb6b513fe934] GET /api/v1/inspections?page=1&limit=100 -> 200 1508ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[499ce8a8-4901-4162-bfe9-13f225b70a30] GET /api/v1/toilet-units -> 200 976ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[eb29dec3-456a-4ba4-99cf-4848ea4a658a] GET /api/v1/toilet-blocks?facilityId=dfcce11b-9ed6-4ded-9f69-5e2868bb337a -> 200 922ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[4d02d72f-c552-4ac8-96bf-64ad1611fe0b] GET /api/v1/facilities?page=1&limit=300 -> 200 1097ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[5aea6ee0-476f-4171-b09a-7e4a245521ec] OPTIONS /api/v1/toilets/dcafc7ee-55fd-49fa-a6bb-1280ff82883e/details -> 204 1ms tenant=platform user=anonymous
[803684a1-5eae-46f0-88be-6c74bc1ffc2e] OPTIONS /api/v1/toilets/dcafc7ee-55fd-49fa-a6bb-1280ff82883e/details -> 204 0ms tenant=platform user=anonymous
[18197695-49bd-48c6-853b-d602cd36ca85] GET /api/v1/toilets/dcafc7ee-55fd-49fa-a6bb-1280ff82883e/details -> 200 1683ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[980f9a2d-ded2-4051-8664-4d47156ada0b] GET /api/v1/toilets/dcafc7ee-55fd-49fa-a6bb-1280ff82883e/details -> 200 1360ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[52600e38-cb06-4e90-8448-b3477b6e2832] POST /api/v1/auth/login -> 200 584ms tenant=platform user=anonymous
[bdac92f5-0916-4979-aa09-b5cd5e42e3bb] GET /api/v1/dashboard/overview -> 200 1108ms tenant=b1111111-1111-4111-8111-111111111111 user=81c852be-711a-4d51-af5b-6434ff81fdc7
[6eaf301b-0d1d-4eaf-93fd-017a5adcd3c4] OPTIONS /api/v1/toilet-units -> 204 1ms tenant=platform user=anonymous
[01efaa22-e988-4123-bf71-7ea0345da9de] OPTIONS /api/v1/facilities?page=1&limit=300 -> 204 0ms tenant=platform user=anonymous
[d1683843-a071-4b2f-a2a4-d6611662c574] OPTIONS /api/v1/toilet-units -> 204 0ms tenant=platform user=anonymous
[267d2bd6-21ec-424a-8517-0f02249d4549] OPTIONS /api/v1/facilities?page=1&limit=300 -> 204 1ms tenant=platform user=anonymous
[b0043841-9156-4014-a0ce-7898e181dead] GET /api/v1/facilities?page=1&limit=300 -> 200 409ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[23da6b63-f1d8-40c9-a366-b29132a9871a] GET /api/v1/toilet-units -> 200 410ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[31bf2563-5157-499e-a113-d552eef72eae] OPTIONS /api/v1/toilet-blocks?facilityId=dfcce11b-9ed6-4ded-9f69-5e2868bb337a -> 204 1ms tenant=platform user=anonymous
[c020ea90-c55c-4504-ac06-a8cff1fbee5f] GET /api/v1/facilities?page=1&limit=300 -> 200 378ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[35841fd4-48c1-4354-b584-0ccb91d6da8d] GET /api/v1/toilet-units -> 200 381ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[ef0bd2ac-a587-49dd-8416-8d70ed7f557f] GET /api/v1/toilet-blocks?facilityId=dfcce11b-9ed6-4ded-9f69-5e2868bb337a -> 200 437ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[9c6317c8-727a-4043-96ad-9ab46e1b937f] GET /api/v1/dashboard/alerts?page=1&limit=5 -> 200 3879ms tenant=b1111111-1111-4111-8111-111111111111 user=81c852be-711a-4d51-af5b-6434ff81fdc7
[076d49e6-7816-42de-80bc-9774fca24f03] GET /api/v1/dashboard/trends?days=7 -> 200 1145ms tenant=b1111111-1111-4111-8111-111111111111 user=81c852be-711a-4d51-af5b-6434ff81fdc7
[d835dcc5-cbdd-48be-88e9-ceec93155a70] GET /api/v1/dashboard/map -> 200 852ms tenant=b1111111-1111-4111-8111-111111111111 user=81c852be-711a-4d51-af5b-6434ff81fdc7
[cf82550f-74e9-4e73-a553-06363efc4eb1] OPTIONS /api/v1/toilets/dcafc7ee-55fd-49fa-a6bb-1280ff82883e/details -> 204 0ms tenant=platform user=anonymous
[9891e502-e5ba-459d-aaed-1e0d2d979720] OPTIONS /api/v1/toilets/dcafc7ee-55fd-49fa-a6bb-1280ff82883e/details -> 204 0ms tenant=platform user=anonymous
[2f474ecf-3c74-40cb-9eae-97310edfee79] GET /api/v1/inspections?page=1&limit=5 -> 200 605ms tenant=b1111111-1111-4111-8111-111111111111 user=81c852be-711a-4d51-af5b-6434ff81fdc7
[a5f56124-65f3-4520-bf7a-5cc3152fd73b] GET /api/v1/toilets/dcafc7ee-55fd-49fa-a6bb-1280ff82883e/details -> 200 1170ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[df487878-ab8f-4847-8d90-43691d3acbab] GET /api/v1/toilets/dcafc7ee-55fd-49fa-a6bb-1280ff82883e/details -> 200 1254ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[3de466d5-2a18-4d68-8a43-acb9f6efdeac] OPTIONS /api/v1/toilet-units -> 204 1ms tenant=platform user=anonymous
[d1e36fc2-d8c0-41ac-adf0-362c6257bf4e] OPTIONS /api/v1/facilities?page=1&limit=300 -> 204 1ms tenant=platform user=anonymous
[408b049d-97dc-4874-b59b-12c09433c2e5] OPTIONS /api/v1/toilet-units -> 204 1ms tenant=platform user=anonymous
[807a7dc9-67db-437b-afe0-63b32668465c] OPTIONS /api/v1/facilities?page=1&limit=300 -> 204 0ms tenant=platform user=anonymous
[acf795f1-132c-4b30-9b2b-40a1c8ba5c3d] OPTIONS /api/v1/inspections?page=1&limit=100 -> 204 0ms tenant=platform user=anonymous
[bee04522-7ee8-43a0-95d9-c3a96b93c104] OPTIONS /api/v1/inspections?page=1&limit=100 -> 204 0ms tenant=platform user=anonymous
[f7daa240-1fc2-43b8-9818-b80e84968dea] GET /api/v1/toilet-units -> 200 1557ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[95a82f11-484a-4de8-859d-648e86c03c16] GET /api/v1/facilities?page=1&limit=300 -> 200 1751ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[96ff3cc0-b56a-402e-b2ea-5f39917709f2] GET /api/v1/toilet-units -> 200 374ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[030d7ad0-5b55-4016-ab8c-c972310069dd] GET /api/v1/facilities?page=1&limit=300 -> 200 407ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[abd1a19e-2d75-45eb-ad4b-9428d06de2f3] GET /api/v1/inspections?page=1&limit=100 -> 200 3290ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[eb9d59db-f1b5-4d72-b850-6f84901a6cf5] GET /api/v1/inspections?page=1&limit=100 -> 200 929ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[2a4154bb-26b2-4d16-8a7d-e375d747892d] GET /static/sanitation/9e417b55-663f-4ee0-ba39-2a64c1a8db79/inspections/82862c03-db04-4f0c-aa6e-28483ef671c4/inspection-1775027870643-977900579.jpg -> 200 161ms tenant=platform user=anonymous
