Checking and applying pending database migrations...

[4mSequelize CLI [Node: 22.18.0, CLI: 6.6.2, ORM: 6.37.8][24m

Loaded configuration file "src\config\sequelize-cli.js".
Using environment "development".
No migrations were executed, database schema was already up to date.
Database migrations are up to date
Database connection established
Toilet QR bootstrap completed: total=10 generated=0 skipped=10 failed=0
Server is running on port 5000
[74097e68-f8b1-4d6d-a85c-117cbbd575e0] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 1540ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[9cfdb318-e5ee-494f-9f24-658ec6289900] GET /api/v1/dashboard/overview -> 200 1851ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[4f2ac593-b4d1-4df8-9d9e-1a090b690df2] GET /api/v1/inspections?page=1&limit=8 -> 200 1817ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[400d7e4c-c218-4234-b690-844374f4c21a] GET /api/v1/dashboard/trends -> 200 1911ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[fb8cf8bb-86ae-4889-b667-cbff497762d8] GET /api/v1/me -> 200 333ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=0bd3fced-f106-4009-9646-7594d7afd3fb
[f50f2fa6-e50b-4e0e-92fd-153657c28c13] GET /api/v1/tasks/my?limit=50 -> 200 554ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=0bd3fced-f106-4009-9646-7594d7afd3fb
[eb29ebe3-aa16-41d5-ba0b-12565bdf8bf8] GET /api/v1/notifications/my?limit=5 -> 200 1126ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=0bd3fced-f106-4009-9646-7594d7afd3fb
[fbe3eaf9-2ec7-4d98-8d78-8a0c1f3a0ce6] GET /api/v1/tasks/my?limit=50 -> 200 589ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=0bd3fced-f106-4009-9646-7594d7afd3fb
[08cf273f-dfbf-465e-9029-9573a96c83f4] GET /api/v1/notifications/my?limit=5 -> 200 2911ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=0bd3fced-f106-4009-9646-7594d7afd3fb
[131431a1-cae6-4b78-8d6d-238679ee5c6b] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[99a74cf7-214c-4f27-9671-e47a77edf13d] OPTIONS /api/v1/dashboard/trends -> 204 1ms tenant=platform user=anonymous
[917d677f-c8ac-49ea-99c0-ac81f6a478c0] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[5103616b-6537-44a0-b257-4dc4e5295fb7] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
